haiku,summary
"instead of texting
 or calling he mentions me
on twitter makes sense","A person is mentioned on Twitter instead of being contacted directly.
"
"I have complete faith
 in your negotiating
skills on this issue","Expressing confidence in someone's negotiation abilities.
"
"Onward and upward
 good for him Dwelling on the
past keeps you in it","Move forward, don't dwell on the past.
"
"I had a mental
 breakdown and Kendall did not
know how to react","A person experiences a mental breakdown while Kendall is present but unsure how to respond.
"
"He's coming for you
 Jack to seek revenge as the
dead man's tale is told","Jack seeks revenge, fueled by a dead man's tale.
"
"so annoying i
 swear ya do know there's other
dogs besides pits right","Someone is annoyed by the focus on pit bulls over other dog breeds.
"
"Ain't nothing worse than
 getting broke up with the day
before your birthday","Heartbreak overshadowing a birthday.
"
"captain you always
 be my inspirations give
me LOVE LOVE LOVE please","A captain is a source of inspiration and love.
"
"unless the Packers
 call his bluff and say good luck
which they've done before","The Packers might call someone's bluff, as they have in the past.
"
"You are a disgrace
 if you put a pedophile
on the Supreme Court","A condemnation of appointing a pedophile to the Supreme Court.
"
"music gives me so
 much life especially when I'm
not in my right mind","Music is a lifeline, especially when struggling.
"
"If we didn't talk
 during the school year don't hit
me up this summer","Don't expect a summer friendship if we didn't connect during the school year.
"
"damn i be sitting
 next to my charger and i
let my phone go dead","Irony of neglecting a charging phone while sitting next to the charger.
"
"Losing a good girl
 is losing a big part of
you're support system","Heartbreak and loss of support.
"
"Dear Josh Allen I
 will miss you so much Congrats
on the school record","A farewell and congratulations to Josh Allen on a school record.
"
"excuse me while i
 binge the dangerous woman
diaries all day","Binging a video diary series.
"
"are women horney
 er at Christmas or New Years
eve just wondering","A woman's sexual desire is pondered during Christmas or New Year's Eve.
"
"Remember you as
 a freshman You were finding
your place in the school","A freshman finding their place in school is remembered.
"
"Watermelons are
 of season right now I I'll
go out to buy some","Craving watermelon, the speaker plans to buy some.
"
"I wasn't read for
 that to be Mac Miller's last
album Rest In Peace","A lament for Mac Miller's final album and his passing.
"
"It's a pain sometimes
 but I do have to admit
that they are my friends","Acceptance of friends despite occasional annoyances.
"
"ugh looking for a
 job is hard and annoying
they keep saying no","Job searching is frustrating and filled with rejection.
"
"Stressing because i
 still don't know what the fuck i'm
wearing tomorrow","A humorous expression of anxiety about choosing an outfit for the next day.
"
"The most important
 relationship is the one
you have with yourself","Self-love is paramount.
"
"Tis better to have
 loved and lost than never to
have love at all Nice","It's better to have experienced love, even if it ended, than to never have loved at all.
"
"The prostitutes of
 Huntington are out in full
force now that it's warm","Warm weather brings out the prostitutes in Huntington.
"
"Sometimes life takes an
 unexpected wrong turn in
the right direction","Unexpected detours can lead to positive outcomes.
"
"Why does McDonalds
 have the best black coffee It's
better than Starbucks","McDonald's coffee is surprisingly good.
"
"Knowledge is nothing
 unless it is applied then
it becomes wisdom","Knowledge gains value through practical application, transforming into wisdom.
"
"Sometimes keeping calm
 is the best way to do the
things out of the dark","Remaining calm can illuminate solutions.
"
"It is now freezing
 rain if you have to go out
in it please be safe","A plea for safety in freezing rain.
"
"The happiness i
 can see in my dads face right
now is priceless man","A father's happiness is invaluable.
"
"School is coming to
 an end and I'm doing so
well in my last year","Excitement for the end of the school year and satisfaction with academic performance.
"
"Not if we invest
 in water from air machines
that can help us all","Investing in atmospheric water generators can benefit everyone.
"
"My insurance should
 pay for this because it's for
medical purpose","Insurance should cover a medical expense.
"
"Nope she doesn't want
 to be exposed that she wants
attention Departs","A woman desires attention but hides it, then leaves.
"
"Be careful you don't
 want this Carefree but there's a
dark side that haunts this","A warning: carefree appearances hide a haunting darkness.
"
"special person is
 the one who can make you smile
in the worst moments","A special person brings joy even in tough times.
"
"If Salah has a
 good World Cup he will be at
Madrid by July","Salah's World Cup performance may determine a transfer to Real Madrid.
"
"Sixers are cooking
 right now Best I've seen them play
Timing is perfect","The Sixers are playing exceptionally well at the perfect time.
"
"I gave myself a
 tattoo because I was bored
why am I like this","Boredom leads to impulsive tattoo regret.
"
"When you forget it's
 pay day and you wake up to
a blessed bank account","Waking up to a pleasant surprise of unexpectedly getting paid.
"
"WHY ARE THEY MAKING
 IT SO HARD FOR THEMSELVES I
DO NOT UNDERSTAND","Frustration with others' unnecessary struggles.
"
"Ya be waiting on
 the wrong ones because ya want
to be the right ones","Wanting to be seen as ""right"" can lead to misplaced hope and waiting for the wrong people.
"
"Report them as this
 is bullying and it should
get their account closed","Report bullying to get the bully's account closed.
"
"We always play the
 same teams in the tourney lol
No matter what seed","The frustration of predictable matchups in a tournament, regardless of seeding.
"
"it's good to balance
 out ur hopes and dreams with some
hate and hopelessness","Balancing hope with negativity is healthy.
"
"Not to mention all
 the Men we could Honor by
Honoring the Film","The haiku suggests honoring a film as a way to honor the men involved in its creation.
"
"work is cool until
 I get those lame customers
with the stupid drinks","Annoyance with difficult customers while working.
"
"I swear Birmingham
 locals just don't know how to
watch where they're going","People in Birmingham are bad at watching where they are going.
"
"my boyfriend is so
 fucking talented god took
his time on this one","Admiration for a boyfriend's exceptional talent.
"
"Um were there always
 halftime performance in the
Thanksgiving day game","A reflection on whether halftime performances were always a part of Thanksgiving Day games.
"
